Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Added one Article
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Added one Comment
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Comments
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Comment
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Error | Event ID : 20102 | Event Name : Microsoft.EntityFrameworkCore.Database.Command.CommandError | Formatter : Failed executing DbCommand (138ms) [Parameters=[@p5='?' (DbType = Int64), @p0='?' (Size = 4000), @p1='?' (DbType = Int64), @p2='?' (Size = 4000), @p3='?' (DbType = DateTime2), @p4='?' (DbType = Int64)], CommandType='Text', CommandTimeout='30']
SET NOCOUNT ON;
UPDATE [Article] SET [content] = @p0, [createdUserId] = @p1, [subTitle] = @p2, [updatedAt] = @p3, [updatedUserId] = @p4
WHERE [id] = @p5;
SELECT @@ROWCOUNT;
Log Level : Error | Event ID : 10000 | Event Name : Microsoft.EntityFrameworkCore.Update.SaveChangesFailed | Formatter : An exception occurred in the database while saving changes for context type 'DigiturkArticleProject.Data.Context.Contexts.DigiturkArticleProjectContext'.
Microsoft.EntityFrameworkCore.DbUpdateException: An error occurred while updating the entries. See the inner exception for details.
 ---> Microsoft.Data.SqlClient.SqlException (0x80131904): The UPDATE statement conflicted with the FOREIGN KEY constraint "FK_Article_User_createdUserId". The conflict occurred in database "DigiturkArticleProject", table "dbo.User", column 'id'.
The statement has been terminated.
   at Microsoft.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)
   at Microsoft.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)
   at Microsoft.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)
   at Microsoft.Data.SqlClient.SqlDataReader.TryConsumeMetaData()
   at Microsoft.Data.SqlClient.SqlDataReader.get_MetaData()
   at Microsoft.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)
   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean isAsync, Int32 timeout, Task& task, Boolean asyncWrite, Boolean inRetry, SqlDataReader ds, Boolean describeParameterEncryptionRequest)
   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, TaskCompletionSource`1 completion, Int32 timeout, Task& task, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry, String method)
   at Microsoft.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method)
   at Microsoft.Data.SqlClient.SqlCommand.ExecuteReader(CommandBehavior behavior)
   at Microsoft.Data.SqlClient.SqlCommand.ExecuteDbDataReader(CommandBehavior behavior)
   at System.Data.Common.DbCommand.ExecuteReader()
